time,number,treat
0,0.01,100
1,0.01,100
1.5,0.01,100
2,0.01,100
2.5,0.01,100
3,0.01,100
3.5,0.01,100
4,0.01,100
4.5,0.159129765,100
5,0.402362724,100
5.5,0.612745214,100
6,0.779762585,100
7,0.812876081,100
8,0.8459885,100
9,0.883044182,100
0,0.01,50
1,0.01,50
1.5,0.013796033,50
2,0.013930781,50
2.5,0.020625058,50
3,0.040470734,50
3.5,0.106303185,50
4,0.260179937,50
4.5,0.549406139,50
5,0.812350026,50
5.5,0.98331066,50
6,1.134559288,50
7,1.263599301,50
8,1.401834512,50
9,1.474372021,50
0,0.01,10
1,0.013663441,10
1.5,0.022994466,10
2,0.027071399,10
2.5,0.056106884,10
3,0.108801951,10
3.5,0.214058414,10
4,0.352164267,10
4.5,0.638762346,10
5,0.895135923,10
5.5,1.062154372,10
6,1.239682081,10
7,1.456766395,10
8,1.601571916,10
9,1.651770372,10
0,0.01,0
1,0.020236984,0
1.5,0.026936651,0
2,0.040206628,0
2.5,0.062677194,0
3,0.128509645,0
3.5,0.244281837,0
4,0.391589357,0
4.5,0.700523253,0
5,0.970037449,0
5.5,1.144937035,0
6,1.30932736,0
7,1.493560127,0
8,1.625227185,0
9,1.700390661,0
