time,od,treat
0.0000 ,0.0500 ,0.0000
1.0000 ,0.0502 ,0.0000
2.0000 ,0.0753 ,0.0000
3.0000 ,0.1297 ,0.0000
4.0000 ,0.2007 ,0.0000
5.0000 ,0.3175 ,0.0000
6.0000 ,0.4927 ,0.0000
7.0000 ,0.5804 ,0.0000
8.0000 ,0.6764 ,0.0000
9.0000 ,0.7557 ,0.0000
12.0000 ,0.8104 ,0.0000
18.0000 ,0.8281 ,0.0000
24.0000 ,0.7958 ,0.0000
0.0000 ,0.0500 ,6.2500
1.0000 ,0.0543 ,6.2500
2.0000 ,0.0712 ,6.2500
3.0000 ,0.0880 ,6.2500
4.0000 ,0.0924 ,6.2500
5.0000 ,0.1009 ,6.2500
6.0000 ,0.1302 ,6.2500
7.0000 ,0.2012 ,6.2500
8.0000 ,0.3555 ,6.2500
9.0000 ,0.4641 ,6.2500
12.0000 ,0.6146 ,6.2500
18.0000 ,0.7281 ,6.2500
24.0000 ,0.8583 ,6.2500
0.0000 ,0.0500 ,12.5000
1.0000 ,0.0460 ,12.5000
2.0000 ,0.0670 ,12.5000
3.0000 ,0.0797 ,12.5000
4.0000 ,0.0799 ,12.5000
5.0000 ,0.0800 ,12.5000
6.0000 ,0.0844 ,12.5000
7.0000 ,0.1054 ,12.5000
8.0000 ,0.1472 ,12.5000
9.0000 ,0.1807 ,12.5000
12.0000 ,0.5271 ,12.5000
18.0000 ,0.7323 ,12.5000
24.0000 ,0.8208 ,12.5000
